dataTime,so2Value,coValue,o3Value,no2Value,pm10Value,pm25Value
2022042101,,,,,,
2022042102,,,,,,
2022042103,,,,,,
2022042104,,,,,,
2022042105,,,,,,
2022042106,,,,,,
2022042107,,,,,,
2022042108,,,,,,
2022042109,,,,,,
2022042110,,,,,,
2022042111,,,0.036,0.034,,
2022042112,,,0.033,0.037,49,19
2022042113,,,0.050,0.022,40,22
2022042114,,,0.055,0.017,30,21
2022042115,,,0.051,0.020,19,11
2022042116,,,0.046,0.020,23,15
2022042117,,,0.047,0.016,22,16
2022042118,,,0.043,0.021,20,10
2022042119,,,0.045,0.018,12,
2022042120,,,0.024,0.029,14,12
2022042121,,,0.021,0.022,27,18
2022042122,,,0.017,0.021,27,25
2022042123,,,0.024,0.015,32,30
2022042124,,,0.014,0.021,27,17
2022042201,,,0.019,0.017,29,20
2022042202,,,0.015,0.019,31,27
2022042203,,,0.011,0.018,33,29
2022042204,,,0.012,0.016,34,25
2022042205,,,0.016,0.012,26,22
2022042206,,,0.009,0.022,31,26
2022042207,,,0.009,0.023,44,30
2022042208,,,0.008,0.027,35,30
2022042209,,,0.013,0.026,43,33
2022042210,,,0.024,0.031,38,32
2022042211,,,0.054,0.018,43,32
2022042212,,,0.065,0.013,36,16
2022042213,,,0.068,0.012,40,16
2022042214,,,0.072,0.011,39,20
2022042215,,,0.072,0.011,47,14
2022042216,,,0.071,0.011,46,14
